,Title,Listed count,Author
570,The Thirty-Nine Steps,4.0,John Buchan
571,The Autobiography of Alice B. Toklas,4.0,Gertrude Stein
572,Under the Net ,4.0,Iris Murdoch
573,I'm Not Stiller,4.0,Max Frisch
574,The Quiet American ,4.0,Graham Greene
575,Giovanni's Room,4.0,James Baldwin
576,Cider with Rosie,4.0,Laurie Lee
577,The Spy Who Came in From the Cold ,4.0,John le Carré
578,The Electric Kool-Aid Acid Test,4.0,Tom Wolfe
579,Do Androids Dream of Electric Sheep?,4.0,Philip K. Dick
580,Humboldt's Gift,4.0,Saul Bellow
581,"Life, a User's Manual",4.0,Georges Perec
582,The Lover,4.0,Marguerite Duras
583,An Artist of the Floating World ,4.0,Kazuo Ishiguro
584,The New York Trilogy,4.0,Paul Auster
585,Oscar and Lucinda,4.0,Peter Carey
586,Amongst Women,4.0,John McGahern
587,Birdsong,4.0,Sebastian Faulks
588,The Human Stain,4.0,Philip Roth
589,Everything Is Illuminated,4.0,Jonathan Safran Foer
590,Suite Française,4.0,Irène Némirovsky
591,Home,4.0,Marilynne Robinson
592,The White Tiger,4.0,Aravind Adiga
593,Angela's Ashes: A Memoir,4.0,Frank McCourt
594,A Thousand Acres,4.0,Jane Smiley
595,The Second World War,4.0,Winston Churchill
596,The Liberal Imagination,4.0,Lionel Trilling
597,R. E. Lee,4.0,Douglas Southall Freeman
598,The Seven Storey Mountain,4.0,Thomas Merton
599,The Golden Bough,4.0,James George Frazer
600,Philosophical Investigations,4.0,Ludwig Wittgenstein
601,Phèdre,4.0,Jean Racine
602,Civilization and Its Discontents,4.0,Sigmund Freud
603,Corpus Aristotelicum,4.0,Aristotle
604,Life on the Mississippi,4.0,Mark Twain
605,The Souls of Black Folk,4.0,W. E. B. Du Bois
606,The Varieties of Religious Experience,4.0,Will James
607,Being and Nothingness,4.0,Jean Paul Sartre
608,The Feminine Mystique,4.0,Betty Friedan
609,Night,4.0,Elie Wiesel
610,Trojan Women,4.0,Euripides
611,The Prelude,4.0,William Wordsworth
612,Civil Disobedience,4.0,Henry David Thoreau
613,NW: A Novel,4.0,Zadie Smith
614,The Heart of the Matter ,4.0,Graham Greene
615,Samuel Johnson,4.0,Walter Jackson Bate
616,A Separate Peace,4.0,John Knowles
617,Profiles in Courage,4.0,John F. Kennedy
618,Apology,4.0,Plato
619,A Game of Thrones,4.0,George R. R. Martin
620,"Are You There God? It's Me, Margaret",4.0,Judy Blume
621,The Looming Tower,4.0,Lawrence Wright
622,The Power Broker,4.0,Robert Caro
623,"Tinker, Tailor, Soldier, Spy",4.0,John le Carré
624,High Fidelity,4.0,Nick Hornby
625,Freakonomics,4.0,Steven D. Levitt
626,Cyrano de Bergerac,4.0,Edmond Rostand
627,The Autobiography of Benjamin Franklin,4.0,Benjamin Franklin
628,Dreams from My Father,4.0,Barack Obama
629,The Bridge of San Luis Rey,4.0,Thornton Wilder
630,Deliverance ,4.0,James Dickey
631,Waiting,4.0,Ha Jin
632,The Sellout,4.0,Paul Beatty
633,The Flamethrowers: A Novel,4.0,Rachel Kushner
634,The Goldfinch,4.0,Donna Tartt
635,The Amber Spyglass,4.0,Philip Pullman
636,Fingersmith,4.0,Sarah Waters
637,The Sympathizer,4.0,Viet Thanh Nguyen
638,Good-Bye to All That,4.0,Robert Graves
639,Salvage the Bones: A Novel,4.0,Jesmyn Ward
640,The City in History,4.0,Lewis Mumford
641,The Guns of August,4.0,Barbara Tuchman
642,Pilgrim at Tinker Creek,4.0,Annie Dillard
643,The Fortress of Solitude,4.0,Jonathan Lethem
644,The Man in the High Castle,4.0,Philip K. Dick
645,Dog Soldiers ,4.0,Robert Stone
646,House Made of Dawn,4.0,N. Scott Momaday
647,The Underground Railroad,4.0,Colson Whitehead
648,"Sing, Unburied, Sing",4.0,Jesmyn Ward
649,The Faerie Queene,4.0,Edmund Spenser
650,Narrative of the Life of Frederick Douglass,4.0,Frederick Douglass
651,An Essay Concerning Human Understanding,4.0,John Locke
652,A Dictionary of the English Language,4.0,Samuel Johnson
653,Fun Home: A Family Tragicomic,4.0,Alison Bechdel
654,Experience,4.0,Martin Amis
655,Against Interpretation,4.0,Susan Sontag
656,To Kill a Mockingbird,3.0,Harper Lee
657,The Horse Whisperer,3.0,Nicholas Evans
658,Goodnight Moon,3.0,Margaret Wise Brown
659,The Prophet,3.0,Kahlil Gibran
660,The Help,3.0,Kathryn Stockett
661,The Lovely Bones,3.0,Alice Sebold
662,Slaughterhouse Five,3.0,"Vonnegut, Kurt, Jr."
663,Invisible Man,3.0,"Ellison, Ralph"
664,Little House on the Prairie,3.0,"Wilder, Laura Ingalls"
665,Breathing Lessons,3.0,"Tyler, Anne"
666,The Go-Between,3.0, L. P. Hartley
667,Peter Pan,3.0, J.M. Barrie
668,The Grapes Of Wrath,3.0, John Steinbeck
669,Gone With The Wind,3.0, Margaret Mitchell
670,The Bone People,3.0, Keri Hulme
671,Annie John,3.0, Jamaica Kincaid
672,Justine,3.0, Lawrence Durell
673,Jacques the Fatalist and His Master,3.0,Denis Diderot
674,Gypsy Ballads,3.0,Federico García Lorca
675,The Devil to Pay in the Backlands,3.0,Joao Guimaraes Rosa
676,Zorba the Greek,3.0,Nikos Kazantzakis
677,Complete Poems of Giacomo Leopardi,3.0,Giacomo Leopardi
678,Pippi Longstocking,3.0,Astrid Lindgren
679,Season of Migration to the North,3.0,Al-Tayyib Salih
680,Othello,3.0,William Shakespeare
681,The Death of Ivan Ilyich,3.0,Leo Tolstoy
682,Ramayana,3.0,Valmiki
683,Facundo,3.0,Domingo Faustino Sarmiento
684,The Odes,3.0,Horace
685,Ferdydurke,3.0,Witold Gombrowicz
686,The George Sand-Gustave Flaubert Letters,3.0,Gustave Flaubert
687,The Collected Stories of William Faulkner,3.0,William Faulkner
688,Collected Poems of T.S. Eliot,3.0,T. S. Eliot
689,The Posthumous Memoirs of Bras Cubas,3.0,Machado de Assis
690,"Carry On, Jeeves",3.0,P. G. Wodehouse
691,Desert Solitaire,3.0,Edward Abbey
692,Poems of W. H. Auden,3.0,W. H. Auden
693,Oxford English Dictionary,3.0,Oxford University Press
694,The Principles of Psychology,3.0,Will James
695,Andersonville,3.0,MacKinlay Kantor
696,Little Disturbances,3.0,Grace Paley
697,Collected Stories,3.0,Raymond Chandler
698,Don Juan: A Poem,3.0,Lord Byron
699,Notes from the Underground,3.0,Fyodor Dostoyevsky
700,Phaedo,3.0,Plato
701,La Regenta,3.0,Clarín
702,The Stories of Raymond Carver,3.0,Raymond Carver
703,The Nibelungenlied,3.0,Anonymous
704,A Supposedly Fun Thing I'll Never Do Again,3.0,David Foster Wallace
705,Complete Poems,3.0,Elizabeth Bishop
706,The Duino Elegies,3.0,Rainer Maria Rilke
707,Slouching Towards Bethlehem,3.0,Joan Didion
708,Collected Essays of George Orwell,3.0,George Orwell
709,Birds of America,3.0,Lorrie Moore
710,The Phantom Tollbooth,3.0,Norton Juster
711,The Custom of the Country,3.0,Edith Wharton
712,Mythology,3.0,Edith Hamilton
713,Howl and Other Poems,3.0,Allen Ginsberg
714,The Breakfast of Champions,3.0,Kurt Vonnegut
715,Hopscotch,3.0,Julio Cortázar
716,Bouvard et Pécuchet,3.0,Gustave Flaubert
717,The War of the End of the World,3.0,Mario Vargas Llosa
718,The Sleepwalkers,3.0,Hermann Broch
719,The Human Comedy,3.0,Honoré de Balzac
720,Discourse on Method,3.0,Rene Descartes
721,The Clouds,3.0,Aristophanes
722,Maldoror (Les Chants de Maldoror),3.0,Comte de Lautréamont
723,The Seven Pillars of Wisdom,3.0,T. E. Lawrence
724,The Lusiad,3.0,Luís Vaz Camões
725,A Modest Proposal and Other Satirical Works,3.0,Jonathan Swift
726,Eugene Onegin,3.0,Alexander Pushkin
727,Eugenie Grandet,3.0,Honoré de Balzac
728,A Hero of Our Time,3.0,Mikhail Lermontov
729,The Last Chronicle of Barset,3.0,Anthony Trollope
730,New Grub Street: A Novel,3.0,George Gissing
731,The Diary of a Nobody,3.0,George Grossmith
732,Dom Casmurro,3.0,Machado de Assis
733,Riddle of the Sands,3.0,Erskine Childers
734,Way of All Flesh,3.0,Samuel Butler
735,The Notebooks of Malte Laurids Brigge,3.0,Rainer Maria Rilke
736,Kristin Lavransdatter,3.0,Sigrid Undset
737,We,3.0,Yevgeny Zamyatin
738,The Murder of Roger Ackroyd,3.0,Agatha Christie
739,Nadja,3.0,André Breton
740,Some Prefer Nettles,3.0,Junichiro Tanizaki
741,Story of the Eye,3.0,Georges Bataille
742,The Radetzky March,3.0,Joseph Roth
743,Testament Of Youth,3.0,Vera Brittain
744,Miss Lonelyhearts ,3.0,Nathanael West
745,The Postman Always Rings Twice,3.0,James M. Cain
746,Goodbye to Berlin,3.0,Christopher Isherwood
747,The Glass Bead Game,3.0,Hermann Hesse
748,Froth on the daydream,3.0,Boris Vian
749,The Man with the Golden Arm,3.0,Nelson Algren
750,The Moon and the Bonfires,3.0,Cesare Pavese
751,The Day of the Triffids,3.0,John Wyndham
752,Casino Royale,3.0,Ian Fleming
753,Bonjour Tristesse,3.0,Francoise Sagan
754,The Recognitions ,3.0,William Gaddis
755,Voss,3.0,Patrick White
756,Franny and Zooey,3.0,J. D. Salinger
757,The Death of Artemio Cruz,3.0,Carlos Fuentes
758,V,3.0,Thomas Pynchon
759,Sometimes a Great Notion,3.0,Ken Kesey
760,Pricksongs and Descants,3.0,Robert Coover
761,Play It As It Lays ,3.0,Joan Didion
762,Anniversaries,3.0,Uwe Johnson
763,The Optimist's Daughter,3.0,Eudora Welty
764,The Siege of Krishnapur,3.0,J. G. Farrell
765,Correction,3.0,Thomas Bernhard
766,The Hour of the Star,3.0,Clarice Lispector
767,The Book of Laughter and Forgetting ,3.0,Milan Kundera
768,Life & Times of Michael K,3.0,J M Coetzee
769,Blood and Guts in High School,3.0,Kathy Acker
770,Nights At The Circus,3.0,Angela Carter
771,The Wasp Factory: A Novel,3.0,Iain Banks
772,World's End,3.0,T. C. Boyle
773,London Fields,3.0,Martin Amis
774,Wild Swans: Three Daughters of China,3.0,Jung Chang
775,Memoirs of a Geisha,3.0,Arthur Golden
776,The Hours,3.0,Michael Cunningham
777,The Feast of the Goat: A Novel,3.0,Mario Vargas Llosa
778,Snow,3.0,Orhan Pamuk
779,The Namesake,3.0,Jhumpa Lahiri
780,The Inheritance of Loss,3.0,Kiran Desai
781,Corelli's Mandolin,3.0,Louis de Bernières
782,Snow Falling on Cedars,3.0,David Guterson
783,The Color of Water: A Black Man's Tribute to His White Mother,3.0,James McBride
784,The Bean Trees,3.0,Barbara Kingsolver
785,Truman,3.0,David McCullough
786,Jazz,3.0,Toni Morrison
787,Gimpel the Fool,3.0,Isaac B Singer
788,The Road to Serfdom,3.0,Friedrich von Hayek
789,The Open Society,3.0,Karl Popper
790,The Origins of Totalitarianism,3.0,Hannah Arendt
791,Mere Christianity,3.0,C. S. Lewis
792,Orthodoxy,3.0,G. K. Chesterton
793, The Feynman Lectures on Physics,3.0,Richard P. Feynman
794,The Death and Life of Great American Cities,3.0,Jane Jacobs
795,Selected Essays of T. S. Eliot,3.0,T. S. Eliot
796,Battle Cry of Freedom,3.0,James M. McPherson
797,Henry James,3.0,Leon Edel
798,Mourning Becomes Electra,3.0,Eugene O'Neill
799,Hedda Gabler,3.0,Henrik Ibsen
800,Beyond Good and Evil,3.0,Friedrich Nietzsche
801,Tartuffe,3.0,Molière
802,The Praise of Folly,3.0,Erasmus
803,Institutes of the Christian Religion,3.0,John Calvin
804,Hippocratic Corpus,3.0,Hippocrates
805,On the Revolutions of the Heavenly Spheres,3.0,Nicolaus Copernicus
806,Three Essays on the Theory of Sexuality,3.0,Sigmund Freud
807,Paddy Clarke Ha Ha Ha,3.0,Roddy Doyle
808,Tales of the South Pacific,3.0,James A. Michener
809,The Temple of the Golden Pavilion,3.0,Yukio Mishima
810,Lives of the Caesars,3.0,Suetonius
811,And the Band Played On,3.0,Randy Shilts
812,Ten Days That Shook the World,3.0,John Reed
813,The Country of the Pointed Firs,3.0,Sarah Orne Jewett
814,Pygmalion,3.0,Bernard Shaw
815,Hippolytus,3.0,Euripides
816,Rubaiyat of Omar Khayyam,3.0,Edward FitzGerald
817,The Complete Poetry and Selected Prose of John Donne,3.0,John Donne
818,An Enquiry Concerning Human Understanding,3.0,David Hume
819,Lyrical Ballads,3.0,William Wordsworth
820,On the Genealogy of Morality,3.0,Friedrich Nietzsche
821,Autobiographies,3.0,W. B. Yeats
822,The Makioka Sisters,3.0,Junichiro Tanizaki
823,Long Day's Journey Into Night,3.0,Eugene O'Neill
824,Oranges are not the only Fruit,3.0,Jeanette Winterson
825,Daniel Deronda ,3.0,George Eliot
826,The Blue Flower,3.0,Penelope Fitzgerald
827,Mother's Milk,3.0,Edward St Aubyn
828,A Study of History,3.0,Arnold J. Toynbee
829,Jefferson and His Time,3.0,Dumas Malone
830,The Emigrants,3.0,Vilhelm Moberg
831,Snow Crash ,3.0,Neal Stephenson
832,Earthly Powers,3.0,Anthony Burgess
833,Hell's Angels,3.0,Hunter S. Thompson
834,Tristan,3.0,Gottfried von Strassburg
835,Utopia,3.0,Thomas More
836,Tristes Tropiques,3.0,Claude Lévi-Strauss
837,Words,3.0,Jean Paul Sartre
838,Aesop's Fables,3.0,Aesop
839,My Name is Red,3.0,Orhan Pamuk
840,I Ching,3.0,China
841,Sophie's World: A Novel About the History of Philosophy,3.0,Jostein Gaarder
842,Master and Commander,3.0,Patrick O'Brian
843,A Wizard of Earthsea,3.0,Ursula K. Le Guin
844,Noughts and Crosses,3.0,Malorie Blackman
845,Oryx and Crake,3.0,Margaret Atwood
846,Twilight,3.0,Stephenie Meyer
847,Tales of the City,3.0,Armistead Maupin
848,How to be both,3.0,Ali Smith
849,The Moor's Last Sigh,3.0,Salman Rushdie
850,"Charlie And The Chocolate Factory,",3.0,Roald Dahl
851,"Guns, Germs, and Steel",3.0,Jared Diamond
852,Man's Search for Meaning,3.0,Victor Frankl
853,Me Talk Pretty One Day,3.0,David Sedaris
854,The Immortal Life of Henrietta Lacks,3.0,Rebecca Skloot
855,The Omnivore's Dilemma,3.0,Michael Pollan
856,Murder on the Orient Express,3.0,Agatha Christie
857,Long Walk to Freedom: The Autobiography of Nelson Mandela,3.0,Nelson Mandela
858,The Selfish Gene,3.0,Richard Dawkins
859,Robert Browning's Poetry,3.0,Robert Browning
860,Poetics,3.0,Aristotle
861,Rights of Man,3.0,Thomas Paine
862,Billy Budd,3.0,Herman Melville
863,Birthday Letters,3.0,Ted Hughes
864,Appointment in Samarra,3.0,John O'Hara
865,Zuleika Dobson,3.0,Max Beerbohm
866,The Wapshot Chronicle,3.0,John Cheever
867,The Magnificent Ambersons ,3.0,Booth Tarkington
868,My Brilliant Friend,3.0,Elena Ferrante
869,What Is the What,3.0,Dave Eggers
870,Outline,3.0,Rachel Cusk
871,Citizen: An American Lyric,3.0,Claudia Rankine
872,A Brief History of Seven Killings,3.0,Marlon James
873,Dinner at the Homesick Restaurant,3.0,Anne Tyler
874,Ender's Game,3.0,Orson Scott Card
875,The Accidental Tourist,3.0,Anne Tyler
876,"Eats, Shoots and Leaves",3.0,Lynne Truss
877,Eminent Victorians,3.0,Lytton Strachey
878,Encyclopédie,3.0,Denis Diderot
879,The Crucible,3.0,Arthur Miller
880,The Monkey Wrench Gang,3.0,Edward Abbey
881,The Rise and Fall of the Third Reich,3.0,William L. Shirer
882,Notes of a Native Son,3.0,James Baldwin
883,The Mismeasure of Man,3.0,Stephen Jay Gould
884,The Making of the English Working Class,3.0,E. P. Thompson
885,Children of Crisis,3.0,Robert Coles
886,A Bright Shining Lie,3.0,Neil Sheehan
887,This Boy's Life,3.0,Tobias Wolff
888,Pastoralia,3.0,George Saunders
889,The Importance of Being Earnest,3.0,Oscar Wilde
890,Red Harvest ,3.0,Dashiell Hammett
891,Mumbo Jumbo,3.0,Ishmael Reed
892,The Left Hand Of Darkness,3.0,Ursula K. Le Guin
893,The Hero with a Thousand Faces,3.0,Joseph Campbell
894,The Ghost Road,3.0,Pat Barker
895,Bring Up the Bodies: A Novel,3.0,Hilary Mantel
896,Lincoln in the Bardo,3.0,George Saunders
897,Independence Day,3.0,Richard Ford
898,Netherland,3.0,Joseph O'Neill
899,A Fable,3.0,William Faulkner
900,The Fixer,3.0,Bernard Malamud
901,The Nickel Boys,3.0,Colson Whitehead
902,Common Ground,3.0,J. Anthony Lukas
903,The Noonday Demon,3.0,Andrew Solomon
904,Parting the Waters,3.0,Taylor Branch
905,The Magic Barrel,3.0,Bernard Malamud
906,"Goodbye, Columbus",3.0,Philip Roth
907,Going After Cacciato,3.0,Tim O'Brien
908,Mating,3.0,Norman Rush
909,Sabbath's Theater,3.0,Philip Roth
910,The Armies of the Night,3.0,Norman Mailer
911,The Sixth Extinction: An Unnatural History,3.0,Elizabeth Kolbert
912,Prufrock and Other Observations,3.0,T. S. Eliot
913,Daisy Miller,3.0,Henry James
914,"Twelfth Night: Or, What You Will",3.0,William Shakespeare
915,Sir Gawain and the Green Knight,3.0,Simon Armitage
916,In the Heart of the Heart of the Country,3.0,William H. Gass
917,Death Of A Salesman,3.0,Arthur Miller
918,The Poems of Percy Bysshe Shelley ,3.0,Percy Bysshe Shelley
919,Critique of Pure Reason,3.0,Immanuel Kant
920,The Hebrew Bible,3.0,Jewish scripture
921,Tenth of December,3.0,George Saunders
922,Brooklyn,3.0,Colm Tóibín
923,The God Delusion,3.0,Richard Dawkins
924,No Logo,3.0,Naomi Klein
925,Cane,3.0,Jean Toomer
926,The Ginger Man,2.0,J. P. Donleavy
927,Jonathan Livingston Seagull,2.0,Richard Bach
928,The Very Hungry Caterpillar,2.0,Eric Carle
929,Flowers in the Attic,2.0,V. C. Andrews
930,Kane and Abel,2.0,Jeffrey Archer
931,Valley of the Dolls,2.0,Jacqueline Susann
932,Nineteen Eighty-Four,2.0,George Orwell
933,James and the Giant Peach,2.0,Roald Dahl
934,The Shack,2.0,William P. Young
935,Love Story,2.0,Erich Segal
936,Kitchen,2.0,Banana Yoshimoto
937,The Women's Room,2.0,Marilyn French
938,Fear of Flying,2.0,Erica Jong
939,Charlie and the Chocolate Factory,2.0,Roald Dahl
940,Matilda,2.0,Roald Dahl
941,The Grapes of Wrath,2.0,John Steinbeck
942,Peyton Place,2.0,Grace Metalious
943,The Gruffalo,2.0,Julia Donaldson
944,The Cat in the Hat,2.0,Dr. Seuss
945,Santa Evita,2.0,Tomás Eloy Martínez
946,The Joy of Sex,2.0,Alex Comfort
947,One Hundred Years of Solitude,2.0,"Marquez, Gabriel García"
948,One Flew Over the Cuckoo's Nest,2.0,"Kesey, Ken"
949,Exodus,2.0,"Uris, Leon"
950,Possession,2.0,"Byatt, A. S."
951,To the Lighthouse,2.0,"Woolf, Virginia"
952,Advise and Consent,2.0,"Drury, Allen"
953,Their Eyes Were Watching God,2.0,"Hurston, Zora Neale"
954,Kate Vaiden,2.0,"Price, Reynolds"
955,Tropic of Cancer,2.0,"Miller, Henry"
956,The Secret Garden,2.0, Frances Hodgson Burnett
957,Travels with Charley,2.0, John Steinbeck
958,Staying On,2.0, Paul Scott
959,I Claudius,2.0, Robert Graves
960,North and South,2.0, Elizabeth Gaskell
961,Hard Times,2.0, Charles Dickens
962,To Kill A Mockingbird,2.0, Harper Lee 
963,1984,2.0, George Orwell
964,A Town Like Alice,2.0, Nevil Shute
965,The Catcher In The Rye,2.0, J. D. Salinger
966,The French Lieutenant’s Woman,2.0, John Fowles
967,The Sound And The Fury,2.0, William Faulkner
968,Absalom Absalom!,2.0, William Faulkner
969,Fifth Business,2.0, Robertson Davies
970,On The Road,2.0, Jack Kerouac
971,Heart Of Darkness,2.0, Joseph Conrad
972,To The Lighthouse,2.0, Virginia Woolf
973,The Handmaid’s Tale,2.0, Margaret Atwood
974,A Portrait Of The Artist As A Young Man,2.0, James Joyce
975,Greenmantle,2.0, Charles de Lint
976,It,2.0, Stephen King
977,Light In August,2.0, William Faulkner
978,One Flew Over The Cuckoo’s Nest,2.0, Ken Kesey
979,A Farewell To Arms,2.0, Ernest Hemingway
980,The Cunning Man,2.0, Robertson Davies
981,The Satanic Verses,2.0, Salman Rushdie
982,So Big,2.0, Edna Ferber
983,How Green Was My Valley,2.0, Richard Llewellyn
984,Strange Fruit,2.0, Lillian Smith
985,Portnoy’s Complaint,2.0, Philip Roth
986,Centennial,2.0, James A. Michener
987,Chesapeake,2.0, James A. Michener
988,The Talisman,2.0, Stephen King and Peter Straub
989,The Lonely Londoners,2.0, Sam Selvon
990,Brick Lane,2.0, Monica Ali
991,Vile Bodies,2.0, Evelyn Waugh
992,Nervous Conditions,2.0, Tsitsi Dangarembga
993,Poems,2.0,Paul Celan
994,History,2.0,Elsa Morante
995,Diary of a Madman and Other Stories,2.0,Xun Lu
996,Los Siete Locos,2.0,Roberto Arlt
997,"If I Forget Thee, Jerusalem",2.0,William Faulkner
998,The Burning Plain and Other Stories,2.0,Juan Rulfo
999,Poems of Federico García Lorca,2.0,Federico García Lorca
1000,Jakob Von Gunten,2.0,Robert Walser
1001,Memoirs From Beyond the Grave,2.0,François René De Chateaubriand
1002,Encyclopedia Britannica,2.0,Encyclopedia Britannica
1003,The Worst Journey in the World,2.0,Robert Falcon Scott
1004,Tell Me a Riddle,2.0,Tillie Olsen
1005,Three Lives,2.0,Gertrude Stein
1006,Omeros,2.0,Derek Walcott
1007,The Collected Stories of Isaac Babel,2.0,Isaac Babel
1008,The Transit of Venus,2.0,Shirley Hazzard
1009,Life Is a Dream,2.0,Pedro Calderón de la Barca
1010,Lazarillo de Tormes,2.0,Unknown
1011,Poems by Machado,2.0,Antonio Machado
1012,Celestina,2.0,Fernando de Rojas
1013,Poet in New York,2.0,Federico García Lorca
1014,The Poetry of Luis Cernuda,2.0,Luis Cernuda
1015,Ada or Ardor,2.0,Vladimir Nabokov
1016,Sanctuary,2.0,William Faulkner
1017,Fortunata and Jacinta,2.0,Benito Pérez Galdós
1018,The Year of the Death of Ricardo Reis,2.0,José Saramago
1019,Upanishads,2.0,Hindu scripture
1020,The Short Stories of F. Scott Fitzgerald,2.0,F. Scott Fitzgerald
1021,Varieties of Disturbance: Stories,2.0,Lydia Davis
1022,The Emperor,2.0,Ryszard Kapuscinski
1023,Poems of Rumi,2.0,Jalāl al-Dīn Rūmī (Maulana)
1024,Freedom: A Novel,2.0,Jonathan Franzen
1025,The Sirens of Titan,2.0,Kurt Vonnegut
1026,Richard III,2.0,William Shakespeare
1027,Three Trapped Tigers,2.0,Guillermo Cabrera Infante
1028,The Shipyard,2.0,Juan Carlos Onetti
1029,The Fall,2.0,Albert Camus
1030,The Time of the Hero,2.0,Mario Vargas Llosa
1031,The Garden of the Finzi-Continis,2.0,Giorgio Bassani
1032,The Poems of Francois Villon,2.0,François Villon
1033,Alcools,2.0,Guillaume Apollinaire
1034,Manon Lescaut,2.0,Abbe Prevost
1035,Selected Poems,2.0,Pierre Ronsard
1036,Histories,2.0,Cornelius Tacitus
1037,The Journal of Jules Renard,2.0,Jules Renard
1038,Adolphe,2.0,Benjamin Constant
1039,Fragments,2.0,Heraclitus
1040,Journals: 1889-1913,2.0,André Gide
1041,History of My Life,2.0,Giacomo Casanova
1042,Romance of the Three Kingdoms,2.0,Guanzhong Luo
1043,The Water Margin: Outlaws of the Marsh,2.0,Shi Naian
1044,The Golden Ass (Metamorphoses): Or Metamorphoses,2.0,Apuleius
1045,Simplicius Simplicissimus,2.0,Hans Jakob Christoffel von Grimmelshausen
1046,Oroonoko,2.0,Aphra Behn
1047,The Castle of Otranto: A Gothic Story,2.0,Horace Walpole
1048,The Interesting Narrative of the Life of Olaudah Equiano,2.0,Olaudah Equiano
1049,Wilhelm Meister's Apprenticeship,2.0,Johann Wolfgang von Goethe
1050,Hyperion,2.0,Friedrich Holderlin
1051,Rameau's Nephew,2.0,Denis Diderot
1052,Elective Affinities,2.0,Johann Wolfgang von Goethe
1053,Michael Kohlhaas,2.0,Heinrich von Kleist
1054,Sense and Sensibility,2.0,Jane Austen
1055,The Life and Opinions of the Tomcat Murr,2.0,E. T. A. Hoffmann
1056,The Private Memoirs and Confessions of a Justified Sinner,2.0,James Hogg
1057,Aus dem Leben eines Taugenichts,2.0,Joseph von Eichendorff
1058,The Tenant of Wildfell Hall,2.0,Anne Brontë
1059,Cranford,2.0,Elizabeth Gaskell
1060,Green Henry,2.0,Gottfried Keller
1061,The Red Room,2.0,August Strindberg
1062,Ben-Hur,2.0,Lew Wallace
1063,Against Nature,2.0,J. K. Huysmans
1064,Hemsöborna,2.0,August Strindberg
1065,The Kreutzer Sonata: And Other Stories,2.0,Leo Tolstoy
1066,Effi Briest,2.0,Theodor Fontane
1067,The Stechlin,2.0,Theodor Fontane
1068,Hadrian the Seventh,2.0,Frederick Rolfe
1069,Professor Unrat,2.0,Heinrich Mann
1070,The Ragged Trousered Philanthropists,2.0,Robert Tressell
1071,Platero,2.0,Juan Ramón Jiménez
1072,Kokoro,2.0,Sōseki Natsume
1073,Rashomon and Seventeen Other Stories,2.0,Ryunosuke Akutagawa
1074,Home and the World,2.0,Rabindranath Tagore
1075,Growth of the Soil,2.0,Knut Hamsun
1076,Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady ,2.0,Anita Loos
1077,The Making of Americans,2.0,Gertrude Stein
1078,Under Satan's Sun,2.0,Georges Bernanos
1079,The Alberta Trilogy,2.0,Cora Sandel
1080,Amerika,2.0,Franz Kafka
1081,Decline and Fall,2.0,Evelyn Waugh
1082,Les Enfants Terribles,2.0,Jean Cocteau
1083,Living,2.0,Henry Green
1084,Auto Da Fé,2.0,Elias Canetti
1085,Nightwood,2.0,Djuna Barnes
1086,The Thinking Reed,2.0,Rebecca West
1087,Embers,2.0,Sandor Marai
1088,The Royal Game,2.0,Stefan Zweig
1089,Christ Stopped at Eboli: The Story of a Year,2.0,Carlo Levi
1090,Titus Groan,2.0,Mervyn Peake
1091,In the Heart of the Sea,2.0,Nathaniel Philbrick
1092,The Heat of the Day,2.0,Elizabeth Bowen
1093,Love in a Cold Climate,2.0,Nancy Mitford
1094,"I, Robot",2.0,Isaac Asimov
1095,Gormenghast,2.0,Mervyn Peake
1096,Barabbas,2.0,Par Lagerkvist
1097,The Opposing Shore,2.0,Julien Gracq
1098,Excellent Women,2.0,Barbara Pym
1099,Thousand Cranes,2.0,Yasunari Kawabata
1100,Junky,2.0,William S. Burroughs
1101,The Lost Steps,2.0,Alejo Carpentier
1102,The African Child,2.0,Camara Laye
1103,A Ghost at Noon,2.0,Alberto Moravia
1104,The Unknown Soldier,2.0,Väinö Linna
1105,A Violent Life,2.0,Pier Paolo Pasolini
1106,Jealousy: A Novel,2.0,Alain Robbe-Grillet
1107,Saturday Night and Sunday Morning,2.0,Alan Sillitoe
1108,The Country Girls,2.0,Edna O'Brien
1109,God's Bits of Wood,2.0,Ousmane Sembène
1110,A Severed Head,2.0,Iris Murdoch
1111,The Ravishing of Lol Stein,2.0,Marguerite Duras
1112,The Third Policeman,2.0,Flann O'Brien
1113,In Watermelon Sugar,2.0,Richard Brautigan
1114,The German Lesson,2.0,Siegfried Lenz
1115,Belle du Seigneur,2.0,Albert Cohen
1116,Cancer Ward,2.0,Aleksandr Solzhenitsyn
1117,First Circle,2.0,Aleksandr Solzhenitsyn
1118,The Bluest Eye,2.0,Toni Morrison
1119,In a Free State,2.0,V. S. Naipaul
1120,G.,2.0,John Berger
1121,The Dispossessed,2.0,Ursula K. Le Guin
1122,The Lost Honour of Katharina Blum,2.0,Heinrich Böll
1123,Woman at Point Zero,2.0,Nawal El Saadawi
1124,Fateless,2.0,Imre Kertész
1125,Interview with the Vampire,2.0,Anne Rice
1126,House with the Blind Glass Windows,2.0,Herbjørg Wassmo
1127,Lanark ,2.0,Alasdair Gray
