,Title,Listed count,Author
131,Women in Love,13.0,"Lawrence, D. H."
132,Doctor Zhivago,13.0,"Pasternak, Boris"
133,Brideshead Revisited,13.0,"Waugh, Evelyn"
134,Dracula,13.0, Bram Stoker
135,The Count of Monte Cristo,13.0, Alexandre Dumas
136,The Golden Notebook,13.0, Doris Lessing
137,Disgrace,13.0, J. M. Coetzee
138,The Idiot,13.0,Fyodor Dostoyevsky
139,The Waste Land,13.0,T. S. Eliot
140,White Teeth ,13.0,Zadie Smith
141,Fathers and Sons,13.0,Ivan Turgenev
142,The Bell Jar,13.0,Sylvia Plath
143,Gravity's Rainbow ,13.0,Thomas Pynchon
144,The Remains of the Day,13.0,Kazuo Ishiguro
145,The Autobiography of Malcolm X,13.0,Alex Haley
146,An American Tragedy,13.0,Theodore Dreiser
147,Dune,12.0,Frank Herbert
148,Of Mice and Men,12.0,"Steinbeck, John"
149,Little Women,12.0, Louisa May Alcott
150,The Moviegoer,12.0, Walker Percy
151,Howards End,12.0, E. M. Forster
152,The Complete Stories of Franz Kafka,12.0,Franz Kafka
153,Sons and Lovers,12.0,D. H. Lawrence
154,Journey to the End of The Night,12.0,Louis-Ferdinand Céline
155,Collected Poems,12.0,Wallace Stevens
156,The Complete Stories of Flannery O'Connor,12.0,Flannery O'Connor
157,Middlesex,12.0,Jeffrey Eugenides
158,Lucky Jim ,12.0,Kingsley Amis
159,Money ,12.0,Martin Amis
160,Gilead,12.0,Marilynne Robinson
161,Fahrenheit 451,11.0,Ray Bradbury
162,Buddenbrooks,11.0, Thomas Mann
163,Atlas Shrugged,11.0, Ayn Rand
164,The Castle,11.0, Franz Kafka
165,The Possessed,11.0,Fyodor Dostoyevsky
166,Dead Souls,11.0,Nikolai Gogol
167,The Tale of Genji,11.0,Murasaki Shikibu
168,Poems of Emily Dickinson,11.0,Emily Dickinson
169,The Adventures of Augie March,11.0,Saul Bellow
170,Lord Jim,11.0,Joseph Conrad
171,Rabbit Is Rich,11.0,John Updike
172,The Wind-Up Bird Chronicle,11.0,Haruki Murakami
173,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,11.0,Hunter S. Thompson
174,Treasure Island,11.0,Robert Louis Stevenson
175,Oedipus at Colonus,11.0,Sophocles
176,Tropic of Cancer ,11.0,Henry Miller
177,The Things They Carried,11.0,Tim O'Brien
178,Ragtime,10.0,"Doctorow, E. L."
179,Bleak House,10.0, Charles Dickens
180,Fairy Tales and Stories,10.0,Hans Christian Anderson
181,Decameron,10.0,Giovanni Boccaccio
182,Nostromo,10.0,Joseph Conrad
183,The Man Without Qualities,10.0,Robert Musil
184,Collected Poems of W. B. Yeats,10.0,W. B. Yeats
185,Orlando: A Biography,10.0,Virginia Woolf
186,Rabbit at Rest,10.0,John Updike
187,The Prime of Miss Jean Brodie ,10.0,Muriel Spark
188,The Charterhouse of Parma,10.0,Stendhal
189,Love in the Time of Cholera,10.0,Gabriel Garcia Marquez
190,A Room of One's Own,10.0,Virginia Woolf
191,Infinite Jest ,10.0,David Foster Wallace
192,The Unbearable Lightness of Being,10.0,Milan Kundera
193,Cloud Atlas,10.0,David Mitchell
194,Light in August ,10.0,William Faulkner
195,The Strange Case of Dr. Jekyll and Mr. Hyde,10.0,Robert Louis Stevenson
196,If on a Winter's Night a Traveller ,10.0,Italo Calvino
197,Communist Manifesto,10.0,Karl Marx
198,Jude the Obscure,10.0,Thomas Hardy
199,The Hound of the Baskervilles,10.0,Arthur Conan Doyle
200,Steppenwolf,10.0,Hermann Hesse
201,U.S.A. Trilogy,10.0,John Dos Passos
202,Go Tell it on the Mountain ,10.0,James Baldwin
203,A Bend in the River,10.0,V. S. Naipaul
204,A Visit From The Goon Squad,10.0,Jennifer Egan
205,"I, Claudius ",10.0,Robert Graves
206,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,10.0,James D. Watson
207,Sophie's Choice,9.0,"Styron, William"
208,"Look Homeward, Angel",9.0,"Wolfe, Thomas"
209,Call It Sleep,9.0,"Roth, Henry"
210,The Secret History,9.0, Donna Tartt
211,A Tale of Two Cities,9.0, Charles Dickens
212,The Stand,9.0, Stephen King
213,The Heart Is A Lonely Hunter,9.0, Carson McCullers
214,Medea,9.0,Euripides
215,Mahabharata,9.0,Vyasa
216,Metamorphoses,9.0,Ovid
217,Gargantua and Pantagruel,9.0,Francois Rabelais
218,The Leopard,9.0,Giuseppe Tomasi di Lampedusa
219,Dangerous Liaison,9.0,Pierre Choderlos de Laclos
220,Stories of Ernest Hemingway,9.0,Ernest Hemingway
221,The Ambassadors,9.0,Henry James
222,Oresteia,9.0,Aeschylus
223,Rabbit Redux,9.0,John Updike
224,The Stories of John Cheever,9.0,John Cheever
225,2666,9.0,Roberto Bolaño
226,Herzog ,9.0,Saul Bellow
227,The House of Mirth,9.0,Edith Wharton
228,The Jungle,9.0,Upton Sinclair
229,A Room With a View,9.0,E. M. Forster
230,The Maltese Falcon,9.0,Dashiell Hammett
231,Portnoy's Complaint ,9.0,Philip Roth
232,Neuromancer ,9.0,William Gibson
233,White Noise ,9.0,Don DeLillo
234,A Prayer for Owen Meany ,9.0,John Irving
235,Underworld,9.0,Don DeLillo
236,The Line of Beauty,9.0,Alan Hollinghurst
237,The Red Badge of Courage,9.0,Stephen Crane
238,The Structure of Scientific Revolutions,9.0,Thomas Kuhn
239,Democracy in America,9.0,Alexis de Tocqueville
240,The Histories of Herodotus,9.0,Herodotus
241,Never Let Me Go ,9.0,Kazuo Ishiguro
242,Wolf Hall,9.0,Hilary Mantel
243,A House for Mr. Biswas ,9.0,V. S. Naipaul
244,Household Tales,9.0,Brothers Grimm
245,The Year of Magical Thinking,9.0,Joan Didion
246,Beowulf,9.0,Unknown
247,The Known World,9.0,Edward P. Jones
248,Housekeeping,9.0,Marilynne Robinson
249,The Hobbit,8.0,J. R. R. Tolkien
250,Harry Potter and the Deathly Hallows,8.0,J. K. Rowling
251,Gone Girl,8.0,Gillian Flynn
252,The Book Thief,8.0,Markus Zusak
253,Life of Pi,8.0,Yann Martel
254,Lonesome Dove,8.0,"McMurtry, Larry"
255,Winnie the Pooh,8.0,"Milne, A. A."
256,"Winesburg, Ohio",8.0,"Anderson, Sherwood"
257,Wise Blood,8.0,"O'Connor, Flannery"
258,The Time Machine,8.0, H. G. Wells
259,Naked Lunch,8.0, William S. Burroughs
260,The Good Earth,8.0, Pearl S. Buck
261,Father Goriot,8.0,Honoré de Balzac
262,Epic of Gilgamesh,8.0,Unknown
263,King Lear,8.0,William Shakespeare
264,Doctor Faustus,8.0,Thomas Mann
265,The Complete Sherlock Holmes,8.0,Arthur Conan Doyle
266,Bonfire of the Vanities,8.0,Tom Wolfe
267,The Tempest,8.0,William Shakespeare
268,"The Sea, The Sea",8.0,Iris Murdoch
269,The Plague,8.0,Albert Camus
270,Das Kapital,8.0,Karl Marx
271,The Second Sex,8.0,Simone de Beauvoir
272,Pensées,8.0,Blaise Pascal
273,The Three Musketeers,8.0,Alexandre Dumas
274,Uncle Tom's Cabin,8.0,Harriet Beecher Stowe
275,The Awakening,8.0,Kate Chopin
276,Kim,8.0,Rudyard Kipling
277,The Poisonwood Bible,8.0,Barbara Kingsolver
278,The World According to Garp,8.0,John Irving
279,A Tree Grows in Brooklyn,8.0,Betty Smith
280,Possession ,8.0,A. S. Byatt
281,Relativity,8.0,Albert Einstein
282,"The General Theory of Employment, Interest and Money",8.0,John Maynard Keynes
283,Let Us Now Praise Famous Men,8.0,James Agee
284,The Naked Dead,8.0,Norman Mailer
285,The Right Stuff,8.0,Tom Wolfe
286,The Tipping Point,8.0,Malcolm Gladwell
287,The Curious Incident of the Dog in the Night-time,8.0,Mark Haddon
288,Harry Potter and the Goblet of Fire ,8.0,J. K Rowling
289,The Wealth of Nations,8.0,Adam Smith
290,Harry Potter and the Half-Blood Prince,7.0,J. K. Rowling
291,Watership Down,7.0,Richard Adams
292,A Brief History of Time,7.0,Stephen Hawking
293,Ethan Frome,7.0,"Wharton, Edith"
294,One Day in the Life of Ivan Denisovich,7.0,"Solzhenitsyn, Alexander"
295,2001: A Space Odyssey,7.0,"Clarke, Arthur C."
296,Death Comes for the Archbishop,7.0,"Cather, Willa"
297,Scoop,7.0, Evelyn Waugh
298,Main Street,7.0, Sinclair Lewis
299,A Suitable Boy,7.0, Vikram Seth
300,The English Patient,7.0, Michael Ondaatje
301,The Blind Assassin,7.0, Margaret Atwood
302,Hunger,7.0,Knut Hamsun
303,A Doll's House,7.0,Henrik Ibsen
304,The Flowers of Evil,7.0,Charles Baudelaire
305,Dubliners,7.0,James Joyce
306,Macbeth,7.0,William Shakespeare
307,Tender Is the Night,7.0,F. Scott Fitzgerald
308,Clarissa,7.0,Samuel Richardson
309,De Rerum Natura,7.0,Lucretius
310,The Pickwick Papers,7.0,Charles Dickens
311,The Elements of Style,7.0,"William Strunk, Jr"
312,Nausea,7.0,Jean Paul Sartre
313,Thus Spake Zarathustra,7.0,Friedrich Nietzsche
314,Twenty Thousand Leagues Under the Sea,7.0,Jules Verne
